0,watch_tv_1,"{'user': 'Alien', 'text': 'How are you doing today?', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': 'I am good, thank you for asking', 'intent': 'Extend_greetings'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'There is a tv in the living room, we can watch the soccer match on it', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': ""That sounds very interesting. Let's go the living room then! You can show me how to use the TV."", 'intent': 'Inform_get_started'}"
0,watch_tv_2,"{'user': 'Alien', 'text': ""That sounds very interesting. Let's go the living room then! You can show me how to use the TV."", 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': ""Let's go! Using the TV is easy. I will show you how to use it"", 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""Let's go! Using the TV is easy. I will show you how to use it"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': ""Let's go! I am excited!"", 'intent': 'Other'}"
1,watch_tv_2,"{'user': 'Alien', 'text': ""Let's go! I am excited!"", 'intent': 'Other'}","{'user': 'Alien', 'text': 'I have reached living room', 'intent': 'Inform_understanding'}"
1,watch_tv_2,"{'user': 'Alien', 'text': ""Let's go! I am excited!"", 'intent': 'Other'}","{'user': 'Alien', 'text': 'I have reached living room', 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'hi', 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'Hello', 'intent': 'Extend_greetings'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Hello', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'how are you?', 'intent': 'Casual_question'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'how are you?', 'intent': 'Casual_question'}","{'user': 'Human', 'text': 'fine thank you', 'intent': 'Casual_response'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'fine thank you', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'are you ready to start?', 'intent': 'Ask_get_started'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'are you ready to start?', 'intent': 'Ask_get_started'}","{'user': 'Human', 'text': 'yes', 'intent': 'Inform_action'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'yes', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'what should I do?', 'intent': 'Ask_next_step'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'what should I do?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'You should watch tv', 'intent': 'Inform_action'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'You should watch tv', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'okay, where is the TV?', 'intent': 'Ask_about_location'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'okay, where is the TV?', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'in the living room', 'intent': 'Inform_location'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'in the living room', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'okay I got it', 'intent': 'Inform_understanding'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'okay I got it', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'I am confused, where is the living room?', 'intent': 'Inform_confused'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'I am confused, where is the living room?', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'You should get out of the kitchen and go to the next room which is the living room', 'intent': 'Inform_location'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'You should get out of the kitchen and go to the next room which is the living room', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': ""Okay, thanks! Let's go together then"", 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Alien', 'text': ""Okay, thanks! Let's go together then"", 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'we are going to the living room now', 'intent': 'Inform_action'}"
1,watch_tv_3,"{'user': 'Human', 'text': 'we are going to the living room now', 'intent': 'Inform_action'}","{'user': 'Human', 'text': 'Do you know the next step?', 'intent': 'Ask_know_next_step'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Do you know the next step?', 'intent': 'Ask_know_next_step'}","{'user': 'Alien', 'text': 'No', 'intent': 'Inform_condition'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'No', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""let's watch the TV"", 'intent': 'Inform_next_step'}"
0,watch_tv_3,"{'user': 'Human', 'text': ""let's watch the TV"", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'okay, so which object is the TV in this living room?', 'intent': 'Ask_about_object'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'okay, so which object is the TV in this living room?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': 'it is the white object in front of the coach', 'intent': 'iInform_object'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'it is the white object in front of the coach', 'intent': 'iInform_object'}","{'user': 'Alien', 'text': 'thanks, I will walk towards it.', 'intent': 'Inform_understanding'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'thanks, I will walk towards it.', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Do you know about your next step', 'intent': 'Ask_know_next_step'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Do you know about your next step', 'intent': 'Ask_know_next_step'}","{'user': 'Alien', 'text': 'No, I guess I should turn on the TV but I do not know how to do it.', 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'No, I guess I should turn on the TV but I do not know how to do it.', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'you should walk towards it and click on its power button\\', 'intent': 'Inform_action'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'you should walk towards it and click on its power button\\', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Got it, I am doing it now', 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Got it, I am doing it now', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Do you need any more info?', 'intent': 'Ask_need_info'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Do you need any more info?', 'intent': 'Ask_need_info'}","{'user': 'Alien', 'text': 'No I am good', 'intent': 'Inform_understanding'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'No I am good', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'What should I do now?', 'intent': 'Ask_next_step'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'What should I do now?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'sit and watch the tv', 'intent': 'Inform_action'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'What should I do now?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'sit and watch the tv', 'intent': 'Inform_action'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Hello!', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Hello!', 'intent': 'Extend_greetings'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'Hello!', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': ""Let's go to the TV"", 'intent': 'Inform_location'}"
0,watch_tv_1,"{'user': 'Human', 'text': ""Let's go to the TV"", 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'Sure, I will walk to tv', 'intent': 'Casual_response'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'Sure, I will walk to tv', 'intent': 'Casual_response'}","{'user': 'Human', 'text': 'Hey, turn on the TV', 'intent': 'Inform_action'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Hey, turn on the TV', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'ok', 'intent': 'Casual_response'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'ok', 'intent': 'Casual_response'}","{'user': 'Human', 'text': 'Hey, turn the channel on to soccer please', 'intent': 'Inform_action'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Hey, turn the channel on to soccer please', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Sure, I turned the channel on to the sports channel', 'intent': 'Inform_condition'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'Sure, I turned the channel on to the sports channel', 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': ""I'm going to the couch"", 'intent': 'Inform_condition'}"
0,watch_tv_1,"{'user': 'Alien', 'text': ""I'm going to the couch"", 'intent': 'Inform_condition'}","{'user': 'Human', 'text': 'Great!', 'intent': 'Casual_response'}"
1,watch_tv_1,"{'user': 'Human', 'text': 'Great!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'The couch is comfortable.', 'intent': 'Casual_observation'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'The couch is comfortable.', 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': 'Wow, this soccer game is boring.', 'intent': 'Casual_observation'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'Wow, this soccer game is boring.', 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'If the game bores you, turn off the TV.', 'intent': 'Inform_next_step'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'If the game bores you, turn off the TV.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': ""Ok, I'm going to the receiver to turn it off."", 'intent': 'Inform_condition'}"
1,watch_tv_1,"{'user': 'Alien', 'text': ""Ok, I'm going to the receiver to turn it off."", 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': 'Alright, I turned it off.', 'intent': 'Inform_condition'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Alright, I turned it off.', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""Cool, let's go back to the kitchen."", 'intent': 'Inform_next_step'}"
1,watch_tv_1,"{'user': 'Human', 'text': ""Cool, let's go back to the kitchen."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Alright, im coming. Should we make some dinner?', 'intent': 'Inform_condition'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Alright, im coming. Should we make some dinner?', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""Yeah, I'm very hungry!"", 'intent': 'Casual_response'}"
1,watch_tv_1,"{'user': 'Human', 'text': ""Yeah, I'm very hungry!"", 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Let's make dinner!"", 'intent': 'Casual_observation'}"
1,watch_tv_1,"{'user': 'Human', 'text': ""Yeah, I'm very hungry!"", 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Let's make dinner!"", 'intent': 'Casual_observation'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Hello!', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Hello!', 'intent': 'Extend_greetings'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Hello!', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': 'Should we watch some tv?', 'intent': 'Casual_question'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Should we watch some tv?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Sure!', 'intent': 'Casual_response'}"
1,watch_tv_2,"{'user': 'Alien', 'text': 'Sure!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': 'Hey, I think you should go to the couch to watch.', 'intent': 'Inform_location'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Hey, I think you should go to the couch to watch.', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'Is this not the TV?', 'intent': 'Inform_confused'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Is this not the TV?', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'This is our desktop, but our TV is bigger, so you might want to watch TV there.', 'intent': 'Inform_location'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'This is our desktop, but our TV is bigger, so you might want to watch TV there.', 'intent': 'Inform_location'}","{'user': 'Human', 'text': 'Perhaps go to the couch?', 'intent': 'Inform_next_step'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Perhaps go to the couch?', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Oh, I see, thank you for the explanation', 'intent': 'Inform_understanding'}"
1,watch_tv_2,"{'user': 'Alien', 'text': 'Oh, I see, thank you for the explanation', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'I am going to the TV stand to turn the TV on', 'intent': 'Casual_observation'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'I am going to the TV stand to turn the TV on', 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'Sounds good!', 'intent': 'Casual_response'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Sounds good!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""There's a nice show on now, if you turn it to channel 2."", 'intent': 'Casual_observation'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""There's a nice show on now, if you turn it to channel 2."", 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': ""Great! I'll turn on the TV then"", 'intent': 'Inform_understanding'}"
0,watch_tv_2,"{'user': 'Alien', 'text': ""Great! I'll turn on the TV then"", 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': 'Have a seat on the couch, you can see it well from there.', 'intent': 'Inform_action'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Have a seat on the couch, you can see it well from there.', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': ""That's a good idea, thank you for the advise"", 'intent': 'Inform_understanding'}"
0,watch_tv_2,"{'user': 'Alien', 'text': ""That's a good idea, thank you for the advise"", 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Sure!', 'intent': 'Casual_response'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Sure!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'This show is very interesting', 'intent': 'Casual_observation'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'This show is very interesting', 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'Yes, its my favorite show.', 'intent': 'Casual_observation'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Yes, its my favorite show.', 'intent': 'Casual_observation'}","{'user': 'Alien', 'text': 'I am hungry', 'intent': 'Inform_condition'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'I am hungry', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': 'Ok, would you like to get something from the kitchen?', 'intent': 'Casual_question'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Ok, would you like to get something from the kitchen?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Yes please', 'intent': 'Inform_understanding'}"
1,watch_tv_2,"{'user': 'Alien', 'text': 'Yes please', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Can you please turn the TV off?', 'intent': 'Ask_take_next_step'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Can you please turn the TV off?', 'intent': 'Ask_take_next_step'}","{'user': 'Alien', 'text': 'Yes, I can', 'intent': 'Inform_understanding'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Yes, I can', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'The TV is now off', 'intent': 'Inform_observation'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'The TV is now off', 'intent': 'Inform_observation'}","{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Thanks!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': 'Lets go to the kitchen now?', 'intent': 'Casual_question'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Lets go to the kitchen now?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Sure, that sounds like a great idea', 'intent': 'Inform_understanding'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Sure, that sounds like a great idea', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Alright, lets go.', 'intent': 'Casual_response'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'Alright, lets go.', 'intent': 'Casual_response'}","{'user': 'Human', 'text': 'What would you like to eat?', 'intent': 'Casual_question'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'What would you like to eat?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'I am not sure, what would you suggest?', 'intent': 'Ask_guidence'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'I am not sure, what would you suggest?', 'intent': 'Ask_guidence'}","{'user': 'Human', 'text': 'I was thinking of putting together whatever we had in the kitchen.', 'intent': 'Casual_response'}"
1,watch_tv_2,"{'user': 'Human', 'text': 'I was thinking of putting together whatever we had in the kitchen.', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Let's make some food together?"", 'intent': 'Casual_question'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""Let's make some food together?"", 'intent': 'Casual_question'}","{'user': 'Alien', 'text': ""Ok, let's!"", 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""Let's make some food together?"", 'intent': 'Casual_question'}","{'user': 'Alien', 'text': ""Ok, let's!"", 'intent': 'Casual_response'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Would you like to watch some TV?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Absolutely!', 'intent': 'Casual_response'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Absolutely!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Great, let's go to it then"", 'intent': 'Casual_response'}"
1,watch_tv_3,"{'user': 'Human', 'text': ""Great, let's go to it then"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': ""I'm confused about where the TV is"", 'intent': 'Inform_confused'}"
0,watch_tv_3,"{'user': 'Alien', 'text': ""I'm confused about where the TV is"", 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'The TV is in the living room', 'intent': 'Inform_location'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'The TV is in the living room', 'intent': 'Inform_location'}","{'user': 'Human', 'text': 'Got it thanks!', 'intent': 'Casual_response'}"
1,watch_tv_3,"{'user': 'Human', 'text': 'Got it thanks!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': 'Now turn on the TV', 'intent': 'Inform_next_step'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Now turn on the TV', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Going to go do that now!', 'intent': 'Inform_condition'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Going to go do that now!', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': 'Great!', 'intent': 'Casual_response'}"
1,watch_tv_3,"{'user': 'Human', 'text': 'Great!', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'Turning on the TV', 'intent': 'Inform_observation'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Turning on the TV', 'intent': 'Inform_observation'}","{'user': 'Alien', 'text': 'What should I watch?', 'intent': 'Casual_question'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'What should I watch?', 'intent': 'Casual_question'}","{'user': 'Human', 'text': 'I hear that there is an exciting soccer match going on right now', 'intent': 'Casual_response'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'I hear that there is an exciting soccer match going on right now', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'That sounds interesting!', 'intent': 'Casual_response'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'That sounds interesting!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Let's watch it then!"", 'intent': 'Casual_response'}"
1,watch_tv_3,"{'user': 'Human', 'text': ""Let's watch it then!"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': ""I'm going to take a seat on the couch."", 'intent': 'Inform_condition'}"
0,watch_tv_3,"{'user': 'Alien', 'text': ""I'm going to take a seat on the couch."", 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""Excellent, that's the best place to watch TV"", 'intent': 'Casual_response'}"
1,watch_tv_3,"{'user': 'Human', 'text': ""Excellent, that's the best place to watch TV"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'This couch is very comfortable!', 'intent': 'Casual_observation'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'This couch is very comfortable!', 'intent': 'Casual_observation'}","{'user': 'Human', 'text': 'How is the game?', 'intent': 'Casual_question'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'How is the game?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'The game is exciting', 'intent': 'Casual_response'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'The game is exciting', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""That's great!"", 'intent': 'Casual_response'}"
1,watch_tv_3,"{'user': 'Human', 'text': ""That's great!"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': ""Alright, I think I'm done watching."", 'intent': 'Inform_condition'}"
0,watch_tv_3,"{'user': 'Alien', 'text': ""Alright, I think I'm done watching."", 'intent': 'Inform_condition'}","{'user': 'Human', 'text': 'Ok, do you want to grab something to eat in the kitchen?', 'intent': 'Casual_question'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Ok, do you want to grab something to eat in the kitchen?', 'intent': 'Casual_question'}","{'user': 'Alien', 'text': 'Definitely!', 'intent': 'Casual_response'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Definitely!', 'intent': 'Casual_response'}","{'user': 'Human', 'text': ""Ok let's go then"", 'intent': 'Casual_response'}"
